,A.Caruso,A.McKinnie,A.Johnson,A.Dosunmu,C.White,D.DeRozan,D.Jones Jr.,D.Dotson,J.Green,J.Bell,L.Ball,M.McClung,M.Hill,M.Simonovic,M.Thomas,N.Vucevic,P.Williams,T.Bradley,T.Thompson,T.Brown Jr.,T.Cook,Z.LaVine
A.Caruso,0,7,52,219,185,631,156,5,186,0,327,0,0,0,16,537,68,84,60,57,3,479
A.McKinnie,7,0,1,30,63,35,1,19,5,0,33,0,6,4,8,33,0,8,0,11,2,11
A.Johnson,52,1,0,19,17,37,1,18,6,0,47,0,0,0,8,1,0,0,0,12,1,18
A.Dosunmu,219,30,19,0,456,833,203,25,414,1,139,0,44,3,137,1099,137,118,85,342,48,582
C.White,185,63,17,456,0,843,163,18,221,2,120,0,23,3,119,833,92,102,107,262,72,454
D.DeRozan,631,35,37,833,843,0,215,4,366,2,684,0,50,0,115,1309,98,186,105,221,64,883
D.Jones Jr.,156,1,1,203,163,215,0,5,21,0,188,1,2,0,9,58,13,11,16,37,5,171
D.Dotson,5,19,18,25,18,4,5,0,1,0,23,2,0,30,37,12,0,17,0,43,5,9
J.Green,186,5,6,414,221,366,21,1,0,0,208,0,5,0,15,249,19,8,14,46,2,362
J.Bell,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Ball,327,33,47,139,120,684,188,23,208,0,0,0,0,0,11,898,69,204,0,99,11,893
M.McClung,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0
M.Hill,0,6,0,44,23,50,2,0,5,0,0,0,0,0,27,19,1,19,0,19,0,2
M.Simonovic,0,4,0,3,3,0,0,30,0,0,0,0,0,0,14,0,0,0,0,3,1,0
M.Thomas,16,8,8,137,119,115,9,37,15,0,11,1,27,14,0,68,1,35,0,84,15,24
N.Vucevic,537,33,1,1099,833,1309,58,12,249,0,898,0,19,0,68,0,60,0,3,169,9,1520
P.Williams,68,0,0,137,92,98,13,0,19,0,69,0,1,0,1,60,0,11,15,30,0,86
T.Bradley,84,8,0,118,102,186,11,17,8,0,204,0,19,0,35,0,11,0,0,44,1,87
T.Thompson,60,0,0,85,107,105,16,0,14,0,0,0,0,0,0,3,15,0,0,16,0,87
T.Brown Jr.,57,11,12,342,262,221,37,43,46,0,99,4,19,3,84,169,30,44,16,0,13,115
T.Cook,3,2,1,48,72,64,5,5,2,0,11,0,0,1,15,9,0,1,0,13,0,9
Z.LaVine,479,11,18,582,454,883,171,9,362,0,893,0,2,0,24,1520,86,87,87,115,9,0
