,B.Goodwin,C.LeVert,C.Osman,C.Sexton,D.Garland,D.Wade,D.Valentine,D.Windler,E.Davis,E.Mobley,I.Okoro,J.Allen,J.Anderson,K.Love,K.Pangos,L.Stevens,L.Markkanen,L.Kornet,M.Newman,M.Brown,R.Nembhard Jr.,R.Rondo,R.Rubio,T.Fall,T.Frazier,T.Scott
B.Goodwin,0,86,291,0,36,116,0,68,28,408,130,258,0,377,10,107,136,0,0,33,8,24,0,0,0,0
C.LeVert,86,0,92,0,473,26,0,14,3,133,127,53,0,193,0,51,148,0,0,56,0,94,0,0,0,0
C.Osman,291,92,0,44,619,81,34,83,18,369,206,196,0,487,8,130,120,0,0,5,9,294,383,3,0,0
C.Sexton,0,0,44,0,150,45,0,3,0,123,27,96,0,50,0,12,95,0,0,0,0,0,117,0,0,0
D.Garland,36,473,619,150,0,429,70,190,76,1703,880,1224,21,961,15,401,1235,2,0,118,0,112,621,19,0,0
D.Wade,116,26,81,45,429,0,32,28,16,112,154,98,5,81,60,37,48,1,6,0,18,98,243,2,4,0
D.Valentine,0,0,34,0,70,32,0,40,10,21,9,2,16,37,43,23,7,5,0,0,15,0,74,7,0,5
D.Windler,68,14,83,3,190,28,40,0,16,70,41,22,0,62,39,38,31,0,2,8,24,38,80,6,1,0
E.Davis,28,3,18,0,76,16,10,16,0,4,15,0,0,18,27,18,2,0,7,0,15,24,73,2,6,0
E.Mobley,408,133,369,123,1703,112,21,70,4,0,335,258,5,230,99,115,284,0,0,0,30,278,539,0,6,0
I.Okoro,130,127,206,27,880,154,9,41,15,335,0,219,1,213,34,41,271,0,0,5,5,89,231,1,0,0
J.Allen,258,53,196,96,1224,98,2,22,0,258,219,0,0,122,34,62,182,0,0,0,0,121,507,0,2,0
J.Anderson,0,0,0,0,21,5,16,0,0,5,1,0,0,3,25,0,3,2,0,0,12,0,10,3,0,2
K.Love,377,193,487,50,961,81,37,62,18,230,213,122,3,0,85,119,140,1,0,8,18,428,654,0,11,0
K.Pangos,10,0,8,0,15,60,43,39,27,99,34,34,25,85,0,66,61,11,0,0,14,0,4,25,0,4
L.Stevens,107,51,130,12,401,37,23,38,18,115,41,62,0,119,66,0,87,0,3,3,13,116,67,5,0,0
L.Markkanen,136,148,120,95,1235,48,7,31,2,284,271,182,3,140,61,87,0,0,2,4,10,79,359,1,4,0
L.Kornet,0,0,0,0,2,1,5,0,0,0,0,0,2,1,11,0,0,0,0,0,4,0,1,0,0,1
M.Newman,0,0,0,0,0,6,0,2,7,0,0,0,0,0,0,3,2,0,0,0,4,0,0,2,0,0
M.Brown,33,56,5,0,118,0,0,8,0,0,5,0,0,8,0,3,4,0,0,0,4,12,0,0,0,0
R.Nembhard Jr.,8,0,9,0,0,18,15,24,15,30,5,0,12,18,14,13,10,4,4,4,0,0,0,4,4,7
R.Rondo,24,94,294,0,112,98,0,38,24,278,89,121,0,428,0,116,79,0,0,12,0,0,0,0,0,0
R.Rubio,0,0,383,117,621,243,74,80,73,539,231,507,10,654,4,67,359,1,0,0,0,0,0,16,0,0
T.Fall,0,0,3,0,19,2,7,6,2,0,1,0,3,0,25,5,1,0,2,0,4,0,16,0,0,3
T.Frazier,0,0,0,0,0,4,0,1,6,6,0,2,0,11,0,0,4,0,0,0,4,0,0,0,0,0
T.Scott,0,0,0,0,0,0,5,0,0,0,0,0,2,0,4,0,0,1,0,0,7,0,0,3,0,0
