,B.Adebayo,C.Martin,C.Silva,D.Dedmon,D.Robinson,G.Vincent,H.Highsmith,J.Smart,J.Butler,K.Okpala,K.Guy,K.Lowry,M.Garrett,M.Morris,M.Strus,M.Mulder,N.Stauskas,O.Yurtseven,P.Tucker,T.Herro,U.Haslem,V.Oladipo
B.Adebayo,0,130,1,2,654,587,5,0,860,0,22,1436,0,43,275,0,0,6,260,623,0,38
C.Martin,130,0,3,62,67,331,5,3,211,19,63,373,7,23,184,1,3,69,51,403,9,25
C.Silva,1,3,0,0,4,15,2,0,13,0,25,42,0,0,9,0,1,0,3,43,1,0
D.Dedmon,2,62,0,0,151,349,1,0,235,10,11,584,2,14,109,0,0,0,60,441,0,21
D.Robinson,654,67,4,151,0,377,10,2,693,23,24,871,6,24,63,2,0,81,355,424,10,34
G.Vincent,587,331,15,349,377,0,33,9,540,95,41,546,55,45,628,4,0,246,327,688,43,8
H.Highsmith,5,5,2,1,10,33,0,19,17,0,16,26,0,0,12,13,2,14,1,26,6,34
J.Smart,0,3,0,0,2,9,19,0,0,0,4,0,0,0,4,4,0,18,0,0,5,25
J.Butler,860,211,13,235,693,540,17,0,0,13,29,1069,5,66,318,0,0,115,602,875,10,22
K.Okpala,0,19,0,10,23,95,0,0,13,0,0,110,18,0,49,0,0,12,17,69,0,0
K.Guy,22,63,25,11,24,41,16,4,29,0,0,38,0,0,48,0,14,45,21,73,8,0
K.Lowry,1436,373,42,584,871,546,26,0,1069,110,38,0,19,121,589,0,17,286,915,1105,11,67
M.Garrett,0,7,0,2,6,55,0,0,5,18,0,19,0,0,18,0,0,12,8,22,3,0
M.Morris,43,23,0,14,24,45,0,0,66,0,0,121,0,0,37,0,0,1,10,138,0,8
M.Strus,275,184,9,109,63,628,12,4,318,49,48,589,18,37,0,0,0,109,154,448,8,55
M.Mulder,0,1,0,0,2,4,13,4,0,0,0,0,0,0,0,0,0,12,0,0,1,19
N.Stauskas,0,3,1,0,0,0,2,0,0,0,14,17,0,0,0,0,0,4,0,0,0,0
O.Yurtseven,6,69,0,0,81,246,14,18,115,12,45,286,12,1,109,12,4,0,43,184,6,38
P.Tucker,260,51,3,60,355,327,1,0,602,17,21,915,8,10,154,0,0,43,0,441,0,10
T.Herro,623,403,43,441,424,688,26,0,875,69,73,1105,22,138,448,0,0,184,441,0,18,103
U.Haslem,0,9,1,0,10,43,6,5,10,0,8,11,3,0,8,1,0,6,0,18,0,7
V.Oladipo,38,25,0,21,34,8,34,25,22,0,0,67,0,8,55,19,0,38,10,103,7,0
