,A.Kulboka,C.Martin,G.Hayward,I.Thomas,I.Smith,J.Thor,J.McDaniels,J.Bouknight,K.Jones,K.Oubre Jr.,L.Ball,M.Plumlee,M.Bridges,M.Harrell,N.Richards,P.Washington,S.Lewis,T.Rozier,V.Carey Jr.
A.Kulboka,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
C.Martin,1,2,299,64,209,29,148,44,2,286,638,210,465,87,74,290,0,540,4
G.Hayward,0,299,0,0,204,31,111,33,2,253,943,347,508,7,61,261,0,530,8
I.Thomas,0,64,0,0,0,17,84,10,5,54,117,54,65,100,18,98,0,75,0
I.Smith,0,209,204,0,0,20,168,51,24,216,89,121,200,0,91,312,0,133,9
J.Thor,0,29,31,17,20,0,10,44,9,36,59,6,41,8,14,30,2,56,2
J.McDaniels,0,148,111,84,168,10,0,37,1,101,400,92,122,31,27,93,1,318,0
J.Bouknight,3,44,33,10,51,44,37,0,28,34,84,19,43,19,56,61,0,58,5
K.Jones,0,2,2,5,24,9,1,28,0,7,2,0,4,0,4,5,2,4,0
K.Oubre Jr.,0,286,253,54,216,36,101,34,7,0,638,166,363,110,58,217,0,564,6
L.Ball,0,638,943,117,89,59,400,84,2,638,2,1399,2152,342,100,1043,0,1781,0
M.Plumlee,0,210,347,54,121,6,92,19,0,166,1399,0,507,7,0,117,0,996,0
M.Bridges,0,465,508,65,200,41,122,43,4,363,2152,507,0,74,54,431,0,1412,4
M.Harrell,0,87,7,100,0,8,31,19,0,110,342,7,74,0,0,46,0,274,0
N.Richards,0,74,61,18,91,14,27,56,4,58,100,0,54,0,0,11,3,70,1
P.Washington,0,290,261,98,312,30,93,61,5,217,1043,117,431,46,11,0,0,703,0
S.Lewis,0,0,0,0,0,2,1,0,2,0,0,0,0,0,3,0,0,3,0
T.Rozier,0,540,530,75,133,56,318,58,4,564,1781,996,1412,274,70,703,3,0,0
V.Carey Jr.,0,4,8,0,9,2,0,5,0,6,0,0,4,0,1,0,0,0,0
