,A.Len,B.Hield,C.Metu,D.Jones,D.Mitchell,D.Fox,D.Sabonis,D.DiVincenzo,E.Mudiay,H.Barnes,J.Ramsey,J.Lamb,J.Jackson,J.Holiday,J.Robinson,L.King,M.Bagley III,M.Harkless,N.Queta,R.Holmes,R.Woodard II,T.Davis,T.Lyles,T.Thompson,T.Haliburton
A.Len,0,208,22,0,160,335,0,35,0,132,8,12,0,12,0,15,13,22,0,0,1,27,5,0,251
B.Hield,208,0,144,142,616,678,0,0,5,217,16,0,0,0,11,19,90,95,4,153,1,65,0,0,0
C.Metu,22,144,0,68,497,445,43,193,8,157,20,64,30,34,7,16,3,23,8,43,1,51,15,26,538
D.Jones,0,142,68,0,521,304,2,140,8,172,34,60,19,91,8,9,13,27,0,0,1,34,56,0,288
D.Mitchell,160,616,497,521,0,532,259,378,0,649,37,145,51,184,0,55,138,160,52,219,8,114,299,96,645
D.Fox,335,678,445,304,532,0,611,215,0,1337,16,101,0,230,0,21,307,223,17,505,0,242,184,162,894
D.Sabonis,0,0,43,2,259,611,0,215,0,185,0,0,6,0,0,0,0,20,0,0,0,0,92,0,0
D.DiVincenzo,35,0,193,140,378,215,215,0,0,130,0,174,52,0,0,0,0,15,19,37,0,0,117,0,0
E.Mudiay,0,5,8,8,0,0,0,0,0,5,0,0,0,0,0,1,1,6,0,1,7,0,0,4,5
H.Barnes,132,217,157,172,649,1337,185,130,5,0,12,40,10,102,9,2,63,72,7,187,0,63,117,64,774
J.Ramsey,8,16,20,34,37,16,0,0,0,12,0,0,0,0,6,26,4,15,15,0,6,6,0,7,19
J.Lamb,12,0,64,60,145,101,0,174,0,40,0,0,27,0,0,0,0,1,14,6,0,0,20,0,0
J.Jackson,0,0,30,19,51,0,6,52,0,10,0,27,0,3,16,0,0,0,9,1,0,0,0,0,0
J.Holiday,12,0,34,91,184,230,0,0,0,102,0,0,3,0,0,0,0,15,1,11,0,0,79,0,0
J.Robinson,0,11,7,8,0,0,0,0,0,9,6,0,16,0,0,0,0,5,5,0,3,0,11,6,0
L.King,15,19,16,9,55,21,0,0,1,2,26,0,0,0,0,0,1,3,9,0,12,6,0,5,20
M.Bagley III,13,90,3,13,138,307,0,0,1,63,4,0,0,0,0,1,0,9,0,10,0,37,0,13,358
M.Harkless,22,95,23,27,160,223,20,15,6,72,15,1,0,15,5,3,9,0,2,53,0,17,0,12,324
N.Queta,0,4,8,0,52,17,0,19,0,7,15,14,9,1,5,9,0,2,0,0,9,1,2,0,15
R.Holmes,0,153,43,0,219,505,0,37,1,187,0,6,1,11,0,0,10,53,0,0,0,54,1,0,550
R.Woodard II,1,1,1,1,8,0,0,0,7,0,6,0,0,0,3,12,0,0,9,0,0,2,0,0,0
T.Davis,27,65,51,34,114,242,0,0,0,63,6,0,0,0,0,6,37,17,1,54,2,0,0,21,217
T.Lyles,5,0,15,56,299,184,92,117,0,117,0,20,0,79,11,0,0,0,2,1,0,0,0,0,0
T.Thompson,0,0,26,0,96,162,0,0,4,64,7,0,0,0,6,5,13,12,0,0,0,21,0,0,0
T.Haliburton,251,0,538,288,645,894,0,0,5,774,19,0,0,0,0,20,358,324,15,550,0,217,0,0,0
