,A.Davis,A.Reaves,A.Bradley,C.Anthony,C.Brown Jr.,D.Augustin,D.Collison,D.Jordan,D.Howard,I.Thomas,J.Huff,J.Jones,K.Bazemore,L.James,M.McClung,M.Monk,M.Jones,R.Rondo,R.Westbrook,S.Doumbouya,S.Johnson,T.Horton-Tucker,T.Ariza,W.Ellington,W.Gabriel
A.Davis,0,85,205,156,0,16,0,29,30,1,0,0,71,653,0,428,0,233,1233,0,61,283,24,72,0
A.Reaves,85,0,42,177,0,55,0,21,135,0,8,0,63,517,11,318,14,52,561,3,196,289,61,61,47
A.Bradley,205,42,0,98,0,34,1,30,42,0,0,0,34,452,0,154,0,39,557,0,63,114,44,21,3
C.Anthony,156,177,98,0,4,69,14,14,53,26,0,0,35,524,0,292,1,175,942,0,71,283,15,94,14
C.Brown Jr.,0,0,0,4,0,0,0,0,0,3,0,0,2,6,0,0,0,2,4,0,0,0,1,4,0
D.Augustin,16,55,34,69,0,0,0,0,48,0,0,0,39,105,6,99,18,0,96,0,113,65,5,51,81
D.Collison,0,0,1,14,0,0,0,0,0,0,0,0,0,20,0,4,0,0,17,0,9,9,0,0,0
D.Jordan,29,21,30,14,0,0,0,0,0,9,0,0,31,121,0,33,1,30,222,0,5,50,3,29,0
D.Howard,30,135,42,53,0,48,0,0,0,1,0,0,33,275,0,236,1,70,492,1,33,147,17,32,3
I.Thomas,1,0,0,26,3,0,0,9,1,0,5,2,15,67,0,0,0,18,49,0,0,10,7,16,0
J.Huff,0,8,0,0,0,0,0,0,0,5,0,2,1,0,0,2,7,2,0,1,0,1,0,9,0
J.Jones,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4,1,6,0,0,2,0,2,0
K.Bazemore,71,63,34,35,2,39,0,31,33,15,1,0,0,115,0,47,0,62,230,0,25,54,6,45,5
L.James,653,517,452,524,6,105,20,121,275,67,0,1,115,0,0,970,0,109,1597,0,313,821,160,247,35
M.McClung,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,5,6,0,0,0,15,10,0,1,4
M.Monk,428,318,154,292,0,99,4,33,236,0,2,0,47,970,5,0,19,123,1127,7,328,419,85,61,42
M.Jones,0,14,0,1,0,18,0,1,1,0,7,4,0,0,6,19,0,1,0,0,7,13,0,10,5
R.Rondo,233,52,39,175,2,0,0,30,70,18,2,1,62,109,0,123,1,0,116,5,0,24,12,114,0
R.Westbrook,1233,561,557,942,4,96,17,222,492,49,0,6,230,1597,0,1127,0,116,0,0,448,606,256,232,115
S.Doumbouya,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,5,0,0,0,0,0,3,0
S.Johnson,61,196,63,71,0,113,9,5,33,0,0,0,25,313,15,328,7,0,448,0,0,229,19,24,25
T.Horton-Tucker,283,289,114,283,0,65,9,50,147,10,1,2,54,821,10,419,13,24,606,0,229,0,92,102,44
T.Ariza,24,61,44,15,1,5,0,3,17,7,0,0,6,160,0,85,0,12,256,0,19,92,0,6,1
W.Ellington,72,61,21,94,4,51,0,29,32,16,9,2,45,247,1,61,10,114,232,3,24,102,6,0,7
W.Gabriel,0,47,3,14,0,81,0,0,3,0,0,0,5,35,4,42,5,0,115,0,25,44,1,7,0
