,A.Schofield,A.Ford,B.Johnson,C.Okeke,C.Anthony,D.Cannady,F.Wagner,F.Gillespie,G.Harris,H.Gravett,I.Brazdeikis,J.Suggs,J.Dowtin Jr.,M.Fultz,M.Bamba,M.Wagner,M.Mulder,R.Hampton,R.Lopez,T.Ross,T.Frazier,W.Carter Jr.
A.Schofield,0,3,10,67,121,10,48,5,43,69,53,49,32,108,11,57,6,131,16,23,45,19
A.Ford,3,0,12,6,2,0,16,4,9,27,0,0,0,0,0,0,0,5,2,0,24,4
B.Johnson,10,12,0,6,1,0,10,1,5,20,0,0,0,0,0,0,6,0,4,0,11,3
C.Okeke,67,6,6,0,641,18,322,9,204,49,87,394,32,198,125,255,24,426,81,178,31,160
C.Anthony,121,2,1,641,0,1,1466,31,438,8,85,729,16,33,1145,331,3,480,139,418,15,1628
D.Cannady,10,0,0,18,1,0,0,0,0,0,27,1,0,30,29,30,0,71,23,1,0,0
F.Wagner,48,16,10,322,1466,0,0,17,296,86,24,552,2,56,318,164,21,331,157,156,112,822
F.Gillespie,5,4,1,9,31,0,17,0,18,9,1,0,0,0,0,4,0,23,0,20,54,2
G.Harris,43,9,5,204,438,0,296,18,0,60,8,248,0,39,171,161,11,110,120,134,54,407
H.Gravett,69,27,20,49,8,0,86,9,60,0,0,0,0,0,13,2,15,23,46,10,23,71
I.Brazdeikis,53,0,0,87,85,27,24,1,8,0,0,60,27,63,47,148,12,145,51,22,12,16
J.Suggs,49,0,0,394,729,1,552,0,248,0,60,0,0,40,581,284,16,173,57,235,0,876
J.Dowtin Jr.,32,0,0,32,16,0,2,0,0,0,27,0,0,21,3,71,0,15,0,2,0,2
M.Fultz,108,0,0,198,33,30,56,0,39,0,63,40,21,0,117,307,0,78,58,113,0,99
M.Bamba,11,0,0,125,1145,29,318,0,171,13,47,581,3,117,0,28,9,297,3,192,43,142
M.Wagner,57,0,0,255,331,30,164,4,161,2,148,284,71,307,28,0,24,485,20,297,32,22
M.Mulder,6,0,6,24,3,0,21,0,11,15,12,16,0,0,9,24,0,70,22,9,0,18
R.Hampton,131,5,0,426,480,71,331,23,110,23,145,173,15,78,297,485,70,0,96,249,87,366
R.Lopez,16,2,4,81,139,23,157,0,120,46,51,57,0,58,3,20,22,96,0,85,10,28
T.Ross,23,0,0,178,418,1,156,20,134,10,22,235,2,113,192,297,9,249,85,0,54,223
T.Frazier,45,24,11,31,15,0,112,54,54,23,12,0,0,0,43,32,0,87,10,54,0,142
W.Carter Jr.,19,4,3,160,1628,0,822,2,407,71,16,876,2,99,142,22,18,366,28,223,142,0
