,A.Drummond,B.Griffin,B.Brown,C.Thomas,D.Duke Jr.,D.Sharpe,D.Bembry,G.Dragic,J.Ennis III,J.Harden,J.Johnson,J.Carter,J.Harris,K.Edwards,K.Durant,K.Irving,L.Aldridge,L.Galloway,N.Claxton,P.Mills,P.Millsap,S.Curry,S.Harrison,W.Gabriel
A.Drummond,0,8,173,28,2,0,0,81,0,0,33,7,0,17,176,197,0,0,1,68,0,0,0,0
B.Griffin,8,0,114,152,48,7,51,65,3,631,74,83,56,71,306,196,8,19,16,391,3,24,5,0
B.Brown,173,114,0,179,41,24,56,215,0,491,162,155,36,142,589,440,80,2,97,402,27,295,0,0
C.Thomas,28,152,179,0,76,118,64,49,0,195,172,151,0,106,232,204,106,6,48,237,35,55,4,0
D.Duke Jr.,2,48,41,76,0,36,7,11,4,47,19,44,0,38,61,13,4,6,26,62,6,6,7,0
D.Sharpe,0,7,24,118,36,0,34,5,0,169,26,86,0,42,35,92,0,5,2,51,2,0,0,0
D.Bembry,0,51,56,64,7,34,0,0,0,391,81,0,12,41,132,53,99,5,28,212,22,0,0,0
G.Dragic,81,65,215,49,11,5,0,0,0,0,130,0,0,49,288,164,44,0,111,119,0,100,0,0
J.Ennis III,0,3,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,5,1
J.Harden,0,631,491,195,47,169,391,0,0,0,249,131,264,232,1105,204,645,8,449,651,0,0,0,0
J.Johnson,33,74,162,172,19,26,81,130,0,249,0,110,9,54,194,184,112,3,55,318,15,111,0,0
J.Carter,7,83,155,151,44,86,0,0,2,131,110,0,24,39,93,16,120,4,17,98,69,7,0,0
J.Harris,0,56,36,0,0,0,12,0,0,264,9,24,0,0,126,0,24,0,10,58,12,0,0,0
K.Edwards,17,71,142,106,38,42,41,49,0,232,54,39,0,0,137,230,27,6,25,172,0,30,11,0
K.Durant,176,306,589,232,61,35,132,288,0,1105,194,93,126,137,0,604,330,5,286,624,50,185,0,0
K.Irving,197,196,440,204,13,92,53,164,0,204,184,16,0,230,604,0,88,0,152,381,0,147,0,0
L.Aldridge,0,8,80,106,4,0,99,44,0,645,112,120,24,27,330,88,0,0,3,379,14,61,0,0
L.Galloway,0,19,2,6,6,5,5,0,6,8,3,4,0,6,5,0,0,0,2,11,1,0,10,1
N.Claxton,1,16,97,48,26,2,28,111,0,449,55,17,10,25,286,152,3,2,0,167,2,53,0,0
P.Mills,68,391,402,237,62,51,212,119,2,651,318,98,58,172,624,381,379,11,167,0,76,103,7,0
P.Millsap,0,3,27,35,6,2,22,0,0,0,15,69,12,0,50,0,14,1,2,76,0,0,0,0
S.Curry,0,24,295,55,6,0,0,100,0,0,111,7,0,30,185,147,61,0,53,103,0,0,0,0
S.Harrison,0,5,0,4,7,0,0,0,5,0,0,0,0,11,0,0,0,10,0,7,0,0,0,0
W.Gabriel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
