,B.Key,C.Cunningham,C.Edwards,C.Stanley,C.Diallo,C.Joseph,D.Sirvydis,D.Walton Jr.,F.Jackson,H.Diallo,I.Livers,I.Stewart,J.Pickett,J.Paige,J.Grant,J.Jackson,J.Robinson,K.Olynyk,K.Hayes,L.Garza,M.Bagley III,M.Potter,R.McGruder,S.Lee,S.Bey,T.Palmer,T.Lyles
B.Key,0,44,52,0,0,3,0,0,53,0,26,11,11,0,0,0,0,42,79,8,4,0,28,70,7,0,0
C.Cunningham,44,0,4,3,0,1001,0,0,147,406,111,912,26,0,961,162,15,259,982,90,279,2,89,183,1175,0,387
C.Edwards,52,4,0,0,0,0,0,0,23,0,34,9,19,0,0,0,0,21,3,16,0,0,46,20,4,0,0
C.Stanley,0,3,0,0,8,24,6,33,0,27,0,4,5,0,0,11,16,0,14,13,0,0,2,21,30,1,7
C.Diallo,0,0,0,8,0,2,5,7,8,15,0,0,2,0,0,2,12,0,0,0,0,0,0,0,6,0,0
C.Joseph,3,1001,0,24,2,0,0,0,284,391,19,448,5,0,830,337,0,357,81,69,148,0,76,64,924,0,503
D.Sirvydis,0,0,0,6,5,0,0,5,4,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0
D.Walton Jr.,0,0,0,33,7,0,5,0,25,116,0,0,6,1,0,0,15,0,0,70,0,0,0,0,102,8,0
F.Jackson,53,147,23,0,8,284,4,25,0,95,23,97,19,0,112,59,2,142,245,45,3,0,40,134,173,0,184
H.Diallo,0,406,0,27,15,391,7,116,95,0,10,173,11,4,124,42,46,132,354,53,28,3,40,116,337,1,133
I.Livers,26,111,34,0,0,19,0,0,23,10,0,44,16,0,20,0,0,53,176,9,16,0,18,93,61,0,1
I.Stewart,11,912,9,4,0,448,0,0,97,173,44,0,2,0,323,57,0,16,568,0,16,0,29,73,480,0,23
J.Pickett,11,26,19,5,2,5,0,6,19,11,16,2,0,3,1,2,2,2,36,5,3,0,11,94,18,0,0
J.Paige,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,10,0,0,0,0,1,0,0,1,0,0
J.Grant,0,961,0,0,0,830,0,0,112,124,20,323,1,0,0,74,0,113,605,34,47,0,23,61,500,0,47
J.Jackson,0,162,0,11,2,337,0,0,59,42,0,57,2,0,74,0,16,114,137,41,0,3,34,197,89,0,0
J.Robinson,0,15,0,16,12,0,3,15,2,46,0,0,2,10,0,16,0,0,0,10,0,18,14,28,48,0,11
K.Olynyk,42,259,21,0,0,357,0,0,142,132,53,16,2,0,113,114,0,0,519,3,54,0,159,114,240,0,118
K.Hayes,79,982,3,14,0,81,0,0,245,354,176,568,36,0,605,137,0,519,0,33,155,0,238,67,718,0,304
L.Garza,8,90,16,13,0,69,0,70,45,53,9,0,5,0,34,41,10,3,33,0,0,0,15,121,71,0,16
M.Bagley III,4,279,0,0,0,148,0,0,3,28,16,16,3,0,47,0,0,54,155,0,0,0,36,33,102,0,0
M.Potter,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,3,18,0,0,0,0,0,1,10,6,0,0
R.McGruder,28,89,46,2,0,76,0,0,40,40,18,29,11,0,23,34,14,159,238,15,36,1,0,126,76,0,61
S.Lee,70,183,20,21,0,64,0,0,134,116,93,73,94,0,61,197,28,114,67,121,33,10,126,0,170,0,236
S.Bey,7,1175,4,30,6,924,8,102,173,337,61,480,18,1,500,89,48,240,718,71,102,6,76,170,0,1,170
T.Palmer,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T.Lyles,0,387,0,7,0,503,0,0,184,133,1,23,0,0,47,0,11,118,304,16,0,0,61,236,170,0,0
