,A.Brooks,C.Boucher,D.Wilson,D.Banton,D.Oturu,D.Johnson,F.VanVleet,G.Trent Jr.,G.Dragic,I.Bonga,J.Champagnie,J.Morgan,K.Birch,M.Flynn,O.Anunoby,P.Siakam,P.Achiuwa,S.Dekker,S.Barnes,S.Mykhailiuk,T.Young,T.Waters,Y.Watanabe
A.Brooks,0,20,0,25,0,0,26,17,0,0,0,0,13,8,3,49,35,0,108,13,25,0,8
C.Boucher,20,0,4,270,2,0,594,166,16,0,14,4,37,153,145,394,90,0,390,63,44,12,44
D.Wilson,0,4,0,25,1,0,0,3,0,0,2,0,0,7,0,11,0,0,0,24,0,25,22
D.Banton,25,270,25,0,6,0,159,199,11,18,52,8,136,84,174,264,209,0,417,144,88,3,125
D.Oturu,0,2,1,6,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,2,0,14,3
D.Johnson,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
F.VanVleet,26,594,0,159,0,0,2,954,32,16,99,0,567,49,972,2017,878,0,1836,234,145,0,105
G.Trent Jr.,17,166,3,199,3,0,954,0,22,2,16,0,184,187,280,891,267,0,660,63,84,0,40
G.Dragic,0,16,0,11,0,0,32,22,0,0,0,0,33,0,53,27,24,0,58,25,0,0,0
I.Bonga,0,0,0,18,0,0,16,2,0,0,5,0,1,10,0,5,3,0,4,9,0,0,7
J.Champagnie,0,14,2,52,0,2,99,16,0,5,0,0,1,61,19,54,18,0,41,12,1,0,18
J.Morgan,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,4
K.Birch,13,37,0,136,0,0,567,184,33,1,1,0,0,50,117,258,6,0,244,67,21,0,3
M.Flynn,8,153,7,84,1,1,49,187,0,10,61,0,50,0,68,310,186,2,287,100,83,0,116
O.Anunoby,3,145,0,174,0,0,972,280,53,0,19,0,117,68,0,573,195,0,529,60,18,0,19
P.Siakam,49,394,11,264,2,0,2017,891,27,5,54,0,258,310,573,2,532,0,1485,119,238,9,79
P.Achiuwa,35,90,0,209,0,0,878,267,24,3,18,0,6,186,195,532,2,0,492,61,77,0,26
S.Dekker,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
S.Barnes,108,390,0,417,0,0,1836,660,58,4,41,0,244,287,529,1485,492,0,0,109,197,0,74
S.Mykhailiuk,13,63,24,144,2,0,234,63,25,9,12,4,67,100,60,119,61,0,109,0,7,16,65
T.Young,25,44,0,88,0,0,145,84,0,0,1,0,21,83,18,238,77,0,197,7,0,0,6
T.Waters,0,12,25,3,14,0,0,0,0,0,0,16,0,0,0,9,0,0,0,16,0,0,14
Y.Watanabe,8,44,22,125,3,0,105,40,0,7,18,4,3,116,19,79,26,0,74,65,6,14,0
