,A.Sengun,A.Brooks,B.Fernando,C.Wood,D.Augustin,D.Nix,D.Theis,D.House Jr.,D.Nwaba,D.Schroder,E.Gordon,G.Mathews,J.Tate,J.Green,J.Christopher,K.Martin Jr.,K.Porter Jr.,T.Queen,U.Garuba
A.Sengun,0,158,0,136,454,57,2,60,73,313,373,193,239,341,462,310,542,1,6
A.Brooks,158,0,0,131,124,26,32,27,36,0,226,64,163,14,153,141,103,19,19
B.Fernando,0,0,0,0,0,39,0,0,8,0,1,20,3,17,68,20,27,6,0
C.Wood,136,131,0,0,192,8,115,32,51,167,594,206,657,699,187,149,1497,6,0
D.Augustin,454,124,0,192,0,0,74,75,105,0,124,129,144,76,111,303,27,0,2
D.Nix,57,26,39,8,0,0,13,0,52,50,1,57,23,29,170,148,24,31,60
D.Theis,2,32,0,115,74,13,0,4,17,0,153,39,156,186,50,25,254,1,1
D.House Jr.,60,27,0,32,75,0,4,2,6,0,84,9,19,9,23,40,50,0,1
D.Nwaba,73,36,8,51,105,52,17,6,0,23,67,21,41,46,137,84,113,9,16
D.Schroder,313,0,0,167,0,50,0,0,23,0,96,146,107,233,161,234,76,0,0
E.Gordon,373,226,1,594,124,1,153,84,67,96,0,291,621,309,210,320,426,3,0
G.Mathews,193,64,20,206,129,57,39,9,21,146,291,0,273,144,211,173,370,0,16
J.Tate,239,163,3,657,144,23,156,19,41,107,621,273,0,554,216,115,956,0,15
J.Green,341,14,17,699,76,29,186,9,46,233,309,144,554,0,199,278,1350,0,29
J.Christopher,462,153,68,187,111,170,50,23,137,161,210,211,216,199,0,494,190,17,129
K.Martin Jr.,310,141,20,149,303,148,25,40,84,234,320,173,115,278,494,0,468,12,32
K.Porter Jr.,542,103,27,1497,27,24,254,50,113,76,426,370,956,1350,190,468,0,0,72
T.Queen,1,19,6,6,0,31,1,0,9,0,3,0,0,0,17,12,0,0,9
U.Garuba,6,19,0,0,2,60,1,1,16,0,0,16,15,29,129,32,72,9,0
