,A.Henry,A.Drummond,B.Key,C.Bassey,C.Brown Jr.,D.Green,D.Jordan,F.Korkmaz,G.Niang,I.Joe,J.Springer,J.Harden,J.Embiid,M.Thybulle,M.Powell,P.Millsap,P.Reed,S.Curry,S.Milton,T.Harris,T.Johnson,T.Maxey,W.Cauley-Stein
A.Henry,0,0,2,1,1,0,0,0,0,2,2,0,0,0,4,0,2,0,0,4,0,0,0
A.Drummond,0,0,0,0,14,93,0,294,165,85,0,0,4,70,8,0,7,0,215,244,0,381,0
B.Key,2,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C.Bassey,1,0,2,0,7,6,0,30,17,43,1,0,0,3,17,0,5,33,70,12,7,56,0
C.Brown Jr.,1,14,0,7,0,1,0,25,7,11,0,0,12,0,5,1,2,16,3,25,0,32,0
D.Green,0,93,0,6,1,0,19,124,106,37,0,163,334,31,13,11,9,189,218,338,0,591,0
D.Jordan,0,0,0,0,0,19,0,12,12,6,0,109,0,6,0,0,0,0,39,33,0,48,0
F.Korkmaz,0,294,1,30,25,124,12,0,382,165,0,26,377,119,3,12,60,224,411,401,15,465,2
G.Niang,0,165,0,17,7,106,12,382,0,117,0,282,357,89,25,16,39,231,516,269,21,992,0
I.Joe,2,85,0,43,11,37,6,165,117,0,4,20,63,34,29,2,65,43,164,116,13,132,6
J.Springer,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Harden,0,0,0,0,0,163,109,26,282,20,0,0,900,187,0,0,20,0,96,527,0,533,0
J.Embiid,0,4,0,0,12,334,0,377,357,63,0,900,0,268,18,0,3,947,330,1056,5,2171,0
M.Thybulle,0,70,0,3,0,31,6,119,89,34,0,187,268,0,8,3,12,125,154,300,8,528,0
M.Powell,4,8,5,17,5,13,0,3,25,29,0,0,18,8,0,0,7,0,0,25,0,1,0
P.Millsap,0,0,0,0,1,11,0,12,16,2,0,0,0,3,0,0,1,0,31,26,0,37,0
P.Reed,2,7,0,5,2,9,0,60,39,65,0,20,3,12,7,1,0,15,156,25,10,112,0
S.Curry,0,0,0,33,16,189,0,224,231,43,0,0,947,125,0,0,15,0,223,672,8,1128,0
S.Milton,0,215,0,70,3,218,39,411,516,164,0,96,330,154,0,31,156,223,0,380,0,462,3
T.Harris,4,244,0,12,25,338,33,401,269,116,0,527,1056,300,25,26,25,672,380,0,7,1924,0
T.Johnson,0,0,0,7,0,0,0,15,21,13,0,0,5,8,0,0,10,8,0,7,0,28,0
T.Maxey,0,381,0,56,32,591,48,465,992,132,0,533,2171,528,1,37,112,1128,462,1924,28,0,2
W.Cauley-Stein,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,3,0,0,2,0
